x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.590161047583841,6.250428336736252,-15.513720015500716,6.307050584839328,-12.60223316471914,6.128388324145599,0.9255700041042656,1.9919152614928273,2.917485265597093
-14.58540251204925,6.369245555834369,-15.511572521771257,6.425409070334548,-12.588417191441232,6.247977169380341,0.928159540272854,2.000918562226734,2.929078102499588
-14.580478743157697,6.488054138765358,-15.509477359508953,6.54378191024729,-12.5748724242207,6.3675691698996,0.9309641013647032,2.009482847331138,2.940446948695841
-14.575373563523726,6.606855824082567,-15.507436645689484,6.662176250600509,-12.561624618263204,6.4871576835177285,0.9340018380958822,2.0175663680064275,2.95156820610231
-14.57006416044533,6.725652013614007,-15.50545249728851,6.780599237417166,-12.54869952877441,6.606736068049089,0.9372975508867013,2.0251207257487533,2.9624182766354545
-14.564534635474914,6.844444562479143,-15.503527031281712,6.899058016720223,-12.536122910959984,6.726297681308039,0.9408691168571885,2.0321044453545456,2.972973562211734
-14.558778317195056,6.963235872155237,-15.501662364644758,7.017559734532633,-12.523920520025586,6.845835881108942,0.9447251749817374,2.0384852897658705,2.983210464747608
-14.552787589533121,7.08202826526261,-15.499860614353317,7.136111536877355,-12.51211811117688,6.965344025266151,0.9488753161521128,2.0442300700074214,2.9931053861595345
-14.546545368799952,7.200823486532814,-15.498123897383062,7.254720569777348,-12.500741439619532,7.084815471594028,0.9533386198236977,2.049296108540276,3.0026347283639736
-14.540029121024794,7.319622928835538,-15.496454330709662,7.373393979255573,-12.489816260559206,7.204243577906931,0.9581396293057973,2.0536352639715867,3.011774893277384
-14.53322397737505,7.43842835040033,-15.494854031308789,7.492138911334984,-12.47936832920156,7.32362170201922,0.9632952156419041,2.0572070671743212,3.020502282816225
-14.5261207002872,7.557241719952807,-15.493325116156113,7.610962512038543,-12.469423400752262,7.44294320174525,0.9688166157322702,2.0599766831646864,3.0287932988969564
-14.518709269896084,7.676064827639487,-15.491869702227309,7.729871927389207,-12.460007230416974,7.562201434899387,0.9747158563020886,2.061908487133948,3.0366243434360367
-14.510978660769224,7.794899248322467,-15.490489906498045,7.848874303409935,-12.451145573401362,7.681389759295984,0.981005977485505,2.062965840864421,3.043971818349926
-14.502925633199665,7.913746555613918,-15.489185680153527,7.967975831800396,-12.44285883955203,7.800502334753421,0.9876902758924286,2.0631253904030253,3.050815666295454
-14.494556293941441,8.032607174889158,-15.487943946229652,8.087176963600415,-12.43513528411094,7.919538145484828,0.9947509485588859,2.0624061804274936,3.0571571289863795
-14.485872112742708,8.151480566141906,-15.486746779375244,8.20647601348032,-12.427951196079473,8.038497971087505,1.002170468612586,2.0608349059046316,3.0630053745172177
-14.476860717065534,8.270365282966226,-15.485576246089115,8.325871292519258,-12.421282844344056,8.157382594176754,1.0099451669283581,2.0584244173781565,3.068369584306515
-14.467503114563796,8.389259376226041,-15.48441441287009,8.445361111796366,-12.415106497791154,8.276192797367864,1.0180780063221535,2.0551809334506643,3.073258939772818
-14.45778938443883,8.508161261042744,-15.483243346216977,8.564943782390793,-12.409398425307195,8.394929363276134,1.0265628668482232,2.0511197554864515,3.0776826223346747
-14.447716079821932,8.627069584814128,-15.482045112628592,8.684617615381683,-12.404134895778633,8.513593074516855,1.0353871473644771,2.046262666046156,3.081649813410633
-14.437273741907482,8.745982544720881,-15.480801778603755,8.80438092184818,-12.399292178091905,8.632184713705326,1.0445442706852333,2.040625423734008,3.085169694419241
-14.426439964523256,8.86489749455321,-15.479495410641285,8.924232012869426,-12.39484654113346,8.750705063456842,1.0540406308181307,2.0342108159609147,3.0882514467790454
-14.415191800403298,8.983811625843037,-15.478108075239987,9.04416919952457,-12.390774253789738,8.869154906386697,1.0638831687195809,2.0270210831890125,3.0909042519085936
-14.403517438451818,9.102722632842385,-15.476621838898692,9.16419079289275,-12.387051584947184,8.987535025110187,1.0740676768488926,2.0190696143775413,3.0931372912264337
-14.391408999858564,9.221628323566684,-15.475018768116207,9.284295104053117,-12.383654803492249,9.10584620224261,1.084586014268579,2.010373731882534,3.094959746151113
-14.37885289645727,9.340526071095796,-15.473280929391352,9.40448044408481,-12.380560178311365,9.224089220399252,1.095435764643478,2.0009450334577012,3.0963807981011793
