s,left_x,left_y,right_x,right_y
2.35223460,2.80999804,-3.70240855,1.36720729,-2.65000129
2.36262774,2.80999923,-3.71506405,1.36000192,-2.65684366
2.37500548,2.80999923,-3.72765541,1.36000192,-2.66900802
2.38738346,2.80999923,-3.74018335,1.36000049,-2.68123579
2.39858437,2.80637574,-3.74999976,1.36000013,-2.69352627
2.41150451,2.78940415,-3.75000000,1.35195589,-2.70000052
2.42844105,2.77251816,-3.74999905,1.33496881,-2.70000100
2.44331837,2.75999975,-3.75312757,1.31789744,-2.70000052
2.45359254,2.75999951,-3.76533699,1.31000125,-2.70676160
2.46595597,2.75999832,-3.77748203,1.31000149,-2.71934366
2.47831511,2.75999999,-3.78956580,1.31000018,-2.73197794
2.49066734,2.75999999,-3.80158353,1.31000185,-2.74466491
2.50301099,2.75999999,-3.81353688,1.31000078,-2.75739884
2.51534605,2.75999951,-3.82542467,1.31000173,-2.77018094
2.52766991,2.75999808,-3.83724666,1.31000102,-2.78300667
2.53998375,2.75999951,-3.84900498,1.31000090,-2.79587603
2.55365205,2.74525523,-3.84999967,1.29789221,-2.80000138
2.57062745,2.72919083,-3.84999895,1.28000581,-2.80000162
2.58762932,2.71317577,-3.84999967,1.26201725,-2.80000114
2.59837842,2.70999932,-3.85924602,1.26000202,-2.81161666
2.61067343,2.70999837,-3.87072611,1.26000142,-2.82472682
2.62295508,2.70999932,-3.88214421,1.26000059,-2.83787203
2.63471913,2.70999980,-3.89349771,1.25854075,-2.85000110
2.64767528,2.70332885,-3.90000010,1.24012828,-2.85000038
2.66478038,2.68764210,-3.89999938,1.22160470,-2.85000134
2.67864251,2.67198086,-3.89999890,1.21000206,-2.85503173
2.68862796,2.65999913,-3.90260696,1.21000099,-2.86840057
2.70088243,2.65999889,-3.91371775,1.21000206,-2.88179851
2.71311879,2.65999961,-3.92476749,1.21000195,-2.89522147
2.72309804,2.66000009,-3.93575549,1.19776452,-2.90000057
2.73409748,2.65999985,-3.94668102,1.17867076,-2.90000105
2.74499750,2.65999889,-3.95754290,1.16000044,-2.90039134
2.75720096,2.65999985,-3.96834493,1.16000175,-2.91399646
2.76938272,2.65999818,-3.97908330,1.16000187,-2.92762136
2.78154302,2.65999889,-3.98976111,1.16000140,-2.94126439
2.79176402,2.65945673,-3.99999881,1.15293622,-2.95000029
2.80920768,2.64426899,-4.00000000,1.13323641,-2.95000124
2.82672620,2.62907553,-4.00000000,1.11339283,-2.95000100
2.83764720,2.61387253,-3.99999905,1.11000192,-2.96146250
2.84863329,2.60999990,-4.00780487,1.11000025,-2.97528458
2.86076164,2.60999990,-4.01822662,1.11000061,-2.98911953
2.87160206,2.60999799,-4.02858829,1.10566592,-3.00000024
2.88300395,2.60999990,-4.03889275,1.08532083,-3.00000024
2.89446306,2.60999823,-4.04913712,1.06482172,-3.00000048
2.90518737,2.60999870,-4.05932426,1.06000042,-3.01071334
2.91724753,2.60999823,-4.06945229,1.06000066,-3.02470565
2.92928076,2.60999799,-4.07952261,1.06000149,-3.03870177
2.94012618,2.60999918,-4.08953571,1.05596697,-3.05000091
2.95175719,2.60999894,-4.09949064,1.03494263,-3.05000067
2.96345139,2.60999823,-4.10938835,1.01375246,-3.05000067
2.97435331,2.60999799,-4.11922932,1.01000023,-3.06163836
2.98630905,2.60999990,-4.12901545,1.01000023,-3.07576346
2.99823380,2.60999870,-4.13874292,1.01000094,-3.08988571
3.00859070,2.60999870,-4.14841318,1.00386930,-3.10000086
3.02565336,2.59764600,-4.14999914,0.98213345,-3.10000086
3.04402304,2.58282018,-4.14999962,0.96021986,-3.10000062
3.05434752,2.56794691,-4.14999962,0.96000147,-3.11409354
3.06450582,2.55999923,-4.15447378,0.96000201,-3.12831736
3.07638192,2.55999947,-4.16401529,0.96000016,-3.14252782
3.08822465,2.55999827,-4.17350292,0.96000022,-3.15672588
3.10003424,2.55999851,-4.18293905,0.96000040,-3.17090869
3.11180949,2.55999994,-4.19232273,0.96000010,-3.18507552
3.12354970,2.55999947,-4.20165253,0.96000183,-3.19922638
3.13538098,2.55999899,-4.21092939,0.93858075,-3.20000124
3.14770246,2.55999947,-4.22015524,0.91572970,-3.20000076
3.15803862,2.55999947,-4.22932816,0.91000164,-3.21069098
3.16971040,2.55999899,-4.23844624,0.91000104,-3.22491646
3.18134570,2.55999994,-4.24751234,0.91000044,-3.23912096
3.19165659,2.55999827,-4.25652552,0.90456915,-3.25000095
