time,x,y,yaw,vel,accel,steer,theta
145,1.26724,-7.51664,-0.761036,2.10299,-0.86169,-0.253914,10.2637
146,1.34913,-7.61219,-0.844979,2.09233,0.501635,-0.281871,10.3737
147,1.42117,-7.71505,-0.938711,2.10637,0.432184,-0.302354,10.4937
148,1.48165,-7.82574,-1.04645,2.114,-0.604556,-0.32651,10.6137
149,1.52925,-7.94334,-1.16127,2.11731,0.370039,-0.315649,10.7337
150,1.56208,-8.06546,-1.2813,2.10033,-0.653345,-0.350354,10.8637
151,1.58,-8.19011,-1.40146,2.09969,0.282439,-0.358642,10.9837
152,1.5794,-8.36046,-1.56766,2.12577,-0.284869,-0.394608,11.1337
153,1.55848,-8.4861,-1.70767,2.1302,0.440683,-0.395788,11.2737
154,1.53426,-8.56749,-1.80533,2.1276,0.334751,-0.40768,11.3737
155,1.50205,-8.64588,-1.90441,2.12141,0.450342,-0.413846,11.4737
156,1.4394,-8.75609,-2.05572,2.10828,-0.777125,-0.41,11.6037
157,1.36102,-8.85508,-2.20672,2.10266,0.282922,-0.392871,11.7337
158,1.26928,-8.94105,-2.35443,2.08979,-0.612926,-0.346814,11.8737
159,1.16656,-9.01278,-2.49663,2.08289,0.147157,-0.316412,12.0137
160,1.09397,-9.0531,-2.58108,2.07622,0.241005,-0.289231,12.1437
161,1.01881,-9.08764,-2.66,2.06894,0.20614,-0.263291,12.2537
162,0.902417,-9.1285,-2.77286,2.04578,-0.626616,-0.243968,12.3837
163,0.783406,-9.15808,-2.86852,2.04337,0.152364,-0.192401,12.4937
164,0.682996,-9.1756,-2.93629,2.03715,-0.469806,-0.15804,12.6037
165,0.581813,-9.18766,-2.99436,2.03376,-0.360651,-0.125913,12.7237
166,0.459787,-9.19643,-3.05022,2.03598,0.239572,-0.10573,12.8537
167,0.338133,-9.2008,-3.09171,2.03687,0.271234,-0.0671141,12.9837
168,0.215335,-9.20126,-3.12561,2.05454,0.250884,-0.0479942,13.1137
169,0.0916428,-9.19908,3.13308,2.06997,0.478183,-0.0105943,13.2337
170,-0.0332599,-9.19586,3.12135,2.0965,0.202916,0.0165206,13.3637
171,-0.159564,-9.19336,3.12332,2.1131,0.418103,0.0182286,13.4837
172,-0.286347,-9.19188,3.12902,2.10583,-0.279054,0.014297,13.6137
173,-0.412874,-9.19119,3.13492,2.1113,-0.0491164,0.00496418,13.7437
174,-0.53901,-9.19126,3.14084,2.09633,-0.112625,-0.0187355,13.8637
175,-0.66422,-9.19096,3.13847,2.07145,-0.104414,-0.0452925,13.9837
176,-0.788659,-9.18943,3.13002,2.0751,0.14313,-0.0725647,14.1137
177,-0.913045,-9.18492,3.10875,2.07292,-0.42705,-0.106154,14.2337
178,-1.03751,-9.17612,3.07742,2.08952,0.179627,-0.144318,14.3537
